Study ID,Authors,Author Full Names,Article Title,Source Title,Abstract,Researcher Ids,ORCIDs,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id,Sequence Type,16S Amplicon?,Community/Isolate,LAB,DNA extraction ,DNA extraction volume/mass,Accession numberr?,Method (other),Longitudinal (Duration)? ,Longitudinal?,Longitudinal (space)? ,Spatial,Longitudinal and Spatial (Both),Temperature (0C),pH,NaCl (%),Country,Geographic coordinates,Cheese Type,Duration of ripening (Days),Ripening/ripened?,Commercial/Industrial?,Starter Culture,Starter Culture Type,Starter Sequenced
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.44,2.26,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.75,1.49,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.64,1.69,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.71,2,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,6.02,1.21,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.86,1.44,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.85,1.34,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.97,2.08,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.59,2.1,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.44,2.29,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.53,1.65,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
13,"Salazar, JK; Carstens, CK; Ramachandran, P; Shazer, AG; Narula, SS; Reed, E; Ottesen, A; Schill, KM","Salazar, Joelle K.; Carstens, Christina K.; Ramachandran, Padmini; Shazer, Arlette G.; Narula, Sartaj S.; Reed, Elizabeth; Ottesen, Andrea; Schill, Kristin M.",Metagenomics of pasteurized and unpasteurized gouda cheese using targeted 16S rDNA sequencing,BMC MICROBIOLOGY,"The microbiome of cheese is diverse, even within a variety. The metagenomics of cheese is dependent on a vast array of biotic and abiotic factors. Biotic factors include the population of microbiota and their resulting cellular metabolism. Abiotic factors, including the pH, water activity, fat, salt, and moisture content of the cheese matrix, as well as environmental conditions (temperature, humidity, and location of aging), influence the biotic factors. This study assessed the metagenomics of commercial Gouda cheese prepared using pasteurized or unpasteurized cow milk or pasteurized goat milk via 16S rDNA sequencing. Results were analyzed and compared based on milk pasteurization and source, spatial variability (core, outer, and under the rind), and length of aging (2-4 up to 12-18 months). The dominant organisms in the Gouda cheeses, based on percentage of sequence reads identified at the family or genus levels, were Bacillaceae, Lactococcus, Lactobacillus, Streptococcus, and Staphylococcus. More genus- or family-level (e.g. Bacillaceae) identifications were observed in the Gouda cheeses prepared with unpasteurized cow milk (120) compared with those prepared with pasteurized cow milk (92). When assessing influence of spatial variability on the metagenomics of the cheese, more pronounced differences in bacterial genera were observed in the samples taken under the rind; Brachybacterium, Pseudoalteromonas, Yersinia, Klebsiella, and Weissella were only detected in these samples. Lastly, the aging length of the cheese greatly influenced the number of organisms observed. Twenty-seven additional genus-level identifications were observed in Gouda cheese aged for 12-18 months compared with cheese only aged 2-4 months. Collectively, the results of this study are important in determining the typical microbiota associated with Gouda cheese and how the microbiome plays a role in safety and quality.",,"Ottesen, Andrea/0000-0002-6425-7943",1471-2180,,19-Nov,2018,18,,10.1186/s12866-018-1323-4,30453904,16S RNA sequening and metagenomics,Yes,Whole,No,"Core, outer, and under the rind",1,PRJNA382370,NA,NA,No,"Core, Intermediate, Rind",Yes,No,NA,5.39,1.7,Netherlands,NA,Gouda cheese,540,Ripened,Commercial,NA,NA,NA
